name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,resolution_x,resolution_y,refresh_rate,repeat_index,distance_m,retinal_spatial_frequency_cpd,temporal_frequency_hz,theta_deg,gabor_radius_px
YanchengCai,yv,300,0.92,10,0.1,27,2.0,2560,1440,240,0,0.6788,5.3866,30.0,47.5253,101.52
YanchengCai,yv,300,0.92,50,0.1,27,2.0,2560,1440,240,0,0.9886,7.6101,30.0,33.6396,147.86
YanchengCai,ach,300,0.2,10,0.1,27,2.0,2560,1440,240,0,1.3397,10.1784,30.0,25.1514,200.37
YanchengCai,yv,450,0.92,50,0.1,27,2.0,2560,1440,240,0,1.2716,9.6777,45.0,26.4527,190.18
YanchengCai,yv,200,0.92,10,0.1,27,2.0,2560,1440,240,0,1.0815,8.2858,20.0,30.8961,161.75
YanchengCai,yv,200,0.92,50,0.1,27,2.0,2560,1440,240,0,1.7393,13.1281,20.0,19.5001,260.13
YanchengCai,yv,450,0.92,10,0.1,27,2.0,2560,1440,240,0,0.6153,4.9411,45.0,51.8108,92.03
YanchengCai,ach,300,0.2,50,0.1,27,2.0,2560,1440,240,0,1.5179,11.4917,30.0,22.2769,227.02
YanchengCai,rg,450,0.14,10,0.1,27,2.0,2560,1440,240,0,0.7553,5.9295,45.0,43.1743,112.97
YanchengCai,rg,300,0.14,50,0.1,27,2.0,2560,1440,240,0,1.5321,11.5966,30.0,22.0755,229.15
YanchengCai,ach,450,0.2,10,0.1,27,2.0,2560,1440,240,0,0.7303,5.7511,45.0,44.5136,109.22
YanchengCai,ach,200,0.2,10,0.1,27,2.0,2560,1440,240,0,1.9679,14.8228,20.0,17.2707,294.33
YanchengCai,ach,450,0.2,50,0.1,27,2.0,2560,1440,240,0,1.3787,10.4657,45.0,24.461,206.21
YanchengCai,rg,300,0.14,10,0.1,27,2.0,2560,1440,240,0,1.209,9.2189,30.0,27.7692,180.83
YanchengCai,ach,200,0.2,50,0.1,27,2.0,2560,1440,240,0,2.09,15.7288,20.0,16.2759,312.58
YanchengCai,rg,200,0.14,50,0.1,27,2.0,2560,1440,240,0,1.8391,13.8678,20.0,18.46,275.06
YanchengCai,rg,200,0.14,10,0.1,27,2.0,2560,1440,240,0,1.3609,10.3339,20.0,24.7728,203.53
YanchengCai,rg,450,0.14,50,0.1,27,2.0,2560,1440,240,0,1.1022,8.4373,45.0,30.3415,164.85
